client_id,contact_duration,number_contacts,pdays,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
0,261,1,999,0,,0,2022-05-01
1,149,1,999,0,,0,2022-05-01
2,226,1,999,0,,0,2022-05-01
3,151,1,999,0,,0,2022-05-01
4,307,1,999,0,,0,2022-05-01
5,198,1,999,0,,0,2022-05-01
6,139,1,999,0,,0,2022-05-01
7,217,1,999,0,,0,2022-05-01
8,380,1,999,0,,0,2022-05-01
9,50,1,999,0,,0,2022-05-01
10,55,1,999,0,,0,2022-05-01
11,222,1,999,0,,0,2022-05-01
12,137,1,999,0,,0,2022-05-01
13,293,1,999,0,,0,2022-05-01
14,146,1,999,0,,0,2022-05-01
15,174,1,999,0,,0,2022-05-01
16,312,1,999,0,,0,2022-05-01
17,440,1,999,0,,0,2022-05-01
18,353,1,999,0,,0,2022-05-01
19,195,1,999,0,,0,2022-05-01
20,38,1,999,0,,0,2022-05-01
21,262,1,999,0,,0,2022-05-01
22,342,1,999,0,,0,2022-05-01
23,181,1,999,0,,0,2022-05-01
24,172,1,999,0,,0,2022-05-01
25,99,1,999,0,,0,2022-05-01
26,93,1,999,0,,0,2022-05-01
27,233,1,999,0,,0,2022-05-01
28,255,2,999,0,,0,2022-05-01
29,362,1,999,0,,0,2022-05-01
30,348,1,999,0,,0,2022-05-01
31,386,1,999,0,,0,2022-05-01
32,73,1,999,0,,0,2022-05-01
33,230,1,999,0,,0,2022-05-01
34,208,1,999,0,,0,2022-05-01
35,336,1,999,0,,0,2022-05-01
36,365,1,999,0,,0,2022-05-01
37,1666,1,999,0,,0,2022-05-01
38,577,1,999,0,,0,2022-05-01
39,137,1,999,0,,0,2022-05-01
40,366,1,999,0,,0,2022-05-01
41,314,1,999,0,,0,2022-05-01
42,160,1,999,0,,0,2022-05-01
43,212,1,999,0,,0,2022-05-01
44,188,1,999,0,,0,2022-05-01
45,22,1,999,0,,0,2022-05-01
46,616,1,999,0,,0,2022-05-01
47,178,1,999,0,,0,2022-05-01
48,355,1,999,0,,0,2022-05-01
